Accession: KF677356	Species: Huernia longii subsp. longii
Accession: KF677355	Species: Huernia lodarensis
Accession: KF677354	Species: Huernia leachii
Accession: KF677352	Species: Huernia hystrix
Accession: KF677351	Species: Huernia humpatana
Accession: KF677350	Species: Huernia humilis
Accession: KF677349	Species: Huernia hadramautica
Accession: KF677346	Species: Huernia concinna
Accession: KF677345	Species: Huernia aspera
Accession: KF677348	Species: Huernia erectiloba
Accession: KF677368	Species: Huernia verekeri subsp. verekeri
Accession: KF677366	Species: Huernia verekeri subsp. angolensis
Accession: KF677367	Species: Huernia verekeri subsp. pauciflora
Accession: KF677353	Species: Huernia kennedyana
Accession: AJ488802	Species: Huernia keniensis
Accession: KF677343	Species: Hoodia mossamedensis
Accession: KF677342	Species: Hoodia juttae
Accession: KF677340	Species: Hoodia alstonii
Accession: JN029939	Species: Hoodia ruschii
Accession: JN029938	Species: Hoodia parviflora
Accession: KF677344	Species: Hoodia officinalis
Accession: DQ231521	Species: Hoodia gordonii
Accession: JN029940	Species: Hoodia triebneri
Accession: AJ488799	Species: Edithcolea grandis
Accession: AJ488795	Species: Duvaliandra dioscoridis
Accession: KF677320	Species: Duvalia sulcata
Accession: KF677317	Species: Duvalia maculata
Accession: MT056129	Species: Ceropegia wallichii
Accession: MT056117	Species: Ceropegia ravikumariana
Accession: MT056116	Species: Ceropegia pullaiahii
Accession: MT056112	Species: Ceropegia manoharii
Accession: MT056107	Species: Ceropegia maculata
Accession: MT056118	Species: Ceropegia ensifolia
Accession: MT056079	Species: Ceropegia bhatii
Accession: MT056114	Species: Ceropegia aridicola
Accession: LT904982	Species: Ceropegia tihamana
Accession: LT904978	Species: Ceropegia lucida
Accession: LT904976	Species: Ceropegia imbricata
Accession: LT635671	Species: Ceropegia haygarthii
Accession: LT635670	Species: Ceropegia dolichophylla
Accession: LT635668	Species: Ceropegia carnosa
Accession: KT795413	Species: Ceropegia fusca
Accession: KT795411	Species: Ceropegia ahmarensis
Accession: KP244949	Species: Ceropegia fimbriifera
Accession: KP244992	Species: Ceropegia verruculosa
Accession: KP244991	Species: Ceropegia turricula
Accession: KP244990	Species: Ceropegia thwaitesii
Accession: KP244989	Species: Ceropegia succulenta
Accession: KP244986	Species: Ceropegia stenantha
Accession: KP244983	Species: Ceropegia speciosa
Accession: KP244978	Species: Ceropegia rhynchantha
Accession: KP244974	Species: Ceropegia pusilla
Accession: KP244973	Species: Ceropegia purpurascens
Accession: KP244971	Species: Ceropegia pachystelma
Accession: LT904979	Species: Ceropegia namuliensis
Accession: KP244965	Species: Ceropegia namaquensis
Accession: KP244963	Species: Ceropegia meyeri
Accession: KP244961	Species: Ceropegia macmasteri
Accession: KP244960	Species: Ceropegia lugardiae
Accession: KP244957	Species: Ceropegia leroyi
Accession: KP244956	Species: Ceropegia leptophylla
Accession: KP244955	Species: Ceropegia kituloensis
Accession: KP244951	Species: Ceropegia fusiformis
Accession: KP244948	Species: Ceropegia fimbriata
Accession: KP244945	Species: Ceropegia euryacme
Accession: KP244943	Species: Ceropegia dinteri
Accession: KP244941	Species: Ceropegia decaisneana
Accession: KP244940	Species: Ceropegia cycniflora
Accession: KP244938	Species: Ceropegia claviloba
Accession: KP244936	Species: Ceropegia ciliata
Accession: KP244933	Species: Ceropegia bowkeri
Accession: KP244932	Species: Ceropegia botrys
Accession: KP244931	Species: Ceropegia barbigera
Accession: KP244930	Species: Ceropegia barbata
Accession: KP244927	Species: Ceropegia arenaria
Accession: KP244923	Species: Ceropegia affinis
Accession: KF677314	Species: Ceropegia dimorpha
Accession: HM475343	Species: Ceropegia occidentalis
Accession: KP244937	Species: Ceropegia cimiciodora
Accession: KP244984	Species: Ceropegia spiralis
Accession: KP244994	Species: Ceropegia vincifolia
Accession: EU106695	Species: Ceropegia santapaui
Accession: HQ154109	Species: Ceropegia rollae
Accession: HQ154107	Species: Ceropegia panchganiensis
Accession: EU106701	Species: Ceropegia odorata
Accession: KP244969	Species: Ceropegia occulta
Accession: KP244968	Species: Ceropegia noorjahaniae
Accession: EU106698	Species: Ceropegia mohanramii
Accession: KP244962	Species: Ceropegia media
Accession: EU106692	Species: Ceropegia mahabalei
Accession: EU106689	Species: Ceropegia lawii
Accession: EU106693	Species: Ceropegia jainii
Accession: KP244953	Species: Ceropegia huberi
Accession: KP244952	Species: Ceropegia hirsuta
Accession: KP244946	Species: Ceropegia fantastica
Accession: EU106680	Species: Ceropegia evansii
Accession: LT904975	Species: Ceropegia elegans
Accession: KP244928	Species: Ceropegia attenuata
Accession: EU106690	Species: Ceropegia anjanerica
Accession: EU106699	Species: Ceropegia anantii
Accession: AM493281	Species: Ceropegia meyeri-johannis
Accession: AM493282	Species: Ceropegia meleagris
Accession: HQ154108	Species: Ceropegia maccannii
Accession: KP244959	Species: Ceropegia longifolia
Accession: AM493284	Species: Ceropegia konasita
